"voltage","millis"
"73","1460918007999"
"36","1460918008502"
"65","1460918009005"
"8","1460918009507"
"23","1460918010010"
"46","1460918010513"
"38","1460918011015"
"75","1460918011519"
"76","1460918012021"
"39","1460918012524"
"38","1460918013028"
"97","1460918013531"
"45","1460918014034"
"2","1460918014538"
"77","1460918015042"
"91","1460918015545"
"97","1460918016047"
"8","1460918016551"
"37","1460918017054"
"68","1460918017557"
"6","1460918018060"
"7","1460918018562"
"59","1460918019064"
"5","1460918019567"
"86","1460918020070"
"15","1460918020574"
"58","1460918021076"
"81","1460918021579"
"27","1460918022082"
"71","1460918022584"
"74","1460918023087"
"20","1460918023591"
"17","1460918024094"
"42","1460918024597"
"81","1460918025100"
"96","1460918025603"
"4","1460918026106"
"93","1460918026609"
"23","1460918027112"
"52","1460918027615"
"61","1460918028117"
"43","1460918028620"
"7","1460918029124"
"54","1460918029627"
"75","1460918030129"
"79","1460918030631"
"15","1460918031134"
"81","1460918031637"
"87","1460918032140"
"91","1460918032642"
"68","1460918033145"
"44","1460918033648"
"82","1460918034152"
"87","1460918034654"
"1","1460918035157"
"66","1460918035659"
"61","1460918036162"
"94","1460918036665"
"4","1460918037170"
"33","1460918037673"
"66","1460918038176"
"1","1460918038678"
"20","1460918039181"
"94","1460918039684"
"99","1460918040187"
"8","1460918040690"
"55","1460918041193"
"14","1460918041695"
"8","1460918042201"
"58","1460918042704"
"51","1460918043207"
"53","1460918043709"
"89","1460918044216"
"71","1460918044720"
"97","1460918045223"
"72","1460918045726"
"9","1460918046229"
"91","1460918046733"
"85","1460918047236"
"28","1460918047740"
"99","1460918048243"
"44","1460918048747"
"40","1460918049250"
"95","1460918049754"
"67","1460918050257"
"56","1460918050759"
"69","1460918051262"
"59","1460918051765"
"23","1460918052268"
"28","1460918052770"
"55","1460918053273"
"74","1460918053778"
"89","1460918054281"
"54","1460918054785"
"82","1460918055288"
"25","1460918055791"
"46","1460918056294"
"99","1460918056797"
"5","1460918057302"
"62","1460918057805"
"50","1460918058307"
"77","1460918058810"
"46","1460918059314"
"34","1460918059817"
"18","1460918060320"
"74","1460918060824"
"90","1460918061327"
"97","1460918061829"
"95","1460918062333"
"22","1460918062835"
"88","1460918063338"
"27","1460918063844"
"71","1460918064346"
"98","1460918064850"
"30","1460918065352"
"1","1460918065855"
"35","1460918066358"
"62","1460918066861"
"94","1460918067364"
"34","1460918067867"
"31","1460918068370"
"25","1460918068873"
"61","1460918069377"
"8","1460918069880"
"86","1460918070383"
"76","1460918070887"
"24","1460918071389"
"49","1460918071892"
"84","1460918072394"
"22","1460918072896"
"97","1460918073399"
"98","1460918073904"
"48","1460918074406"
"60","1460918074908"
"91","1460918075411"
"91","1460918075914"
"22","1460918076418"
"30","1460918076921"
"0","1460918077424"
"22","1460918077926"
"39","1460918078429"
"76","1460918078932"
"13","1460918079435"
"77","1460918079938"
"74","1460918080440"
"50","1460918080943"
"52","1460918081445"
"52","1460918081950"
"14","1460918082452"
"26","1460918082955"
"88","1460918083458"
"33","1460918083961"
"75","1460918084465"
"46","1460918084968"
"21","1460918085471"
"95","1460918085974"
"34","1460918086477"
"34","1460918086980"
"52","1460918087483"
"7","1460918087986"
"63","1460918088489"
"76","1460918088992"
"74","1460918089494"
"52","1460918089998"
"81","1460918090501"
"90","1460918091003"
"33","1460918091505"
"69","1460918092008"
"85","1460918092511"
"98","1460918093013"
"60","1460918093516"
"6","1460918094019"
"21","1460918094522"
"88","1460918095024"
"2","1460918095528"
"0","1460918096030"
"50","1460918096533"
"21","1460918097036"
"92","1460918097539"
"77","1460918098042"
"52","1460918098545"
"52","1460918099048"
"65","1460918099550"
"18","1460918100053"
"78","1460918100555"
"73","1460918101058"
"82","1460918101562"
"81","1460918102064"
"23","1460918102567"
"36","1460918103070"
"88","1460918103573"
"88","1460918104076"
"11","1460918104578"
"26","1460918105080"
"8","1460918105583"
"64","1460918106086"
"69","1460918106590"
"53","1460918107094"
"17","1460918107597"
"11","1460918108099"
"98","1460918108601"
"4","1460918109104"
"32","1460918109606"
"19","1460918110109"
"26","1460918110613"
"55","1460918111117"
"33","1460918111624"
"91","1460918112126"
"82","1460918112629"
"44","1460918113131"
"77","1460918113633"
"95","1460918114136"
"15","1460918114639"
"70","1460918115142"
"88","1460918115645"
"28","1460918116148"
"14","1460918116653"
"99","1460918117156"
"53","1460918117659"
"54","1460918118161"
"0","1460918118664"
"83","1460918119169"
"74","1460918119672"
"85","1460918120174"
"8","1460918120677"
"4","1460918121180"
"81","1460918121682"
"49","1460918122185"
"74","1460918122688"
"90","1460918123190"
"37","1460918123693"
"19","1460918124195"
"3","1460918124699"
"42","1460918125202"
"40","1460918125706"
"14","1460918126208"
"9","1460918126711"
"95","1460918127214"
"38","1460918127716"
"86","1460918128221"
"75","1460918128723"
"79","1460918129226"
"67","1460918129729"
"86","1460918130232"
"97","1460918130734"
"3","1460918131237"
"31","1460918131739"
"53","1460918132242"
"52","1460918132747"
"51","1460918133250"
"63","1460918133753"
"26","1460918134255"
"48","1460918134759"
"33","1460918135262"
"91","1460918135764"
"80","1460918136267"
"92","1460918136769"
"30","1460918137272"
"83","1460918137776"
"82","1460918138279"
"33","1460918138782"
"75","1460918139285"
"22","1460918139787"
"50","1460918140289"
"39","1460918140794"
"6","1460918141297"
"30","1460918141800"
"16","1460918142303"
"78","1460918142807"
"33","1460918143310"
"39","1460918143814"
"66","1460918144317"
"76","1460918144820"
"46","1460918145324"
"68","1460918145827"
"99","1460918146330"
"66","1460918146833"
"50","1460918147337"
"79","1460918147839"
"43","1460918148343"
"27","1460918148846"
"29","1460918149348"
"22","1460918149851"
"44","1460918150354"
"81","1460918150857"
"4","1460918151359"
"14","1460918151862"
"56","1460918152365"
"80","1460918152867"
"65","1460918153369"
"46","1460918153875"
"14","1460918154378"
"12","1460918154881"
"16","1460918155384"
"43","1460918155887"
"28","1460918156389"
"36","1460918156892"
"45","1460918157394"
"55","1460918157897"
"46","1460918158400"
"9","1460918158904"
"8","1460918159407"
"6","1460918159910"
"76","1460918160413"
"13","1460918160915"
"89","1460918161420"
"73","1460918161922"
"73","1460918162426"
"31","1460918162928"
"8","1460918163431"
"44","1460918163934"
"35","1460918164436"
"37","1460918164939"
"78","1460918165441"
"27","1460918165944"
"15","1460918166449"
"66","1460918166951"
"89","1460918167454"
"84","1460918167957"
"31","1460918168460"
"22","1460918168962"
"82","1460918169465"
"92","1460918169968"
"9","1460918170473"
"88","1460918170975"
"82","1460918171477"
"39","1460918171979"
"89","1460918172482"
"17","1460918172984"
"44","1460918173487"
"85","1460918173989"
"67","1460918174491"
"76","1460918174996"
"6","1460918175499"
"52","1460918176002"
"73","1460918176504"
"55","1460918177006"
"62","1460918177509"
"32","1460918178012"
"87","1460918178515"
"35","1460918179018"
"10","1460918179520"
"9","1460918180024"
"4","1460918180528"
"63","1460918181030"
"75","1460918181534"
"79","1460918182036"
"70","1460918182539"
"78","1460918183043"
"8","1460918183546"
"10","1460918184048"
"21","1460918184551"
"82","1460918185053"
"69","1460918185556"
"18","1460918186059"
"8","1460918186562"
"48","1460918187064"
"58","1460918187567"
"79","1460918188070"
"47","1460918188575"
"29","1460918189081"
"31","1460918189583"
"38","1460918190087"
"48","1460918190590"
"17","1460918191093"
"20","1460918191596"
"40","1460918192098"
"99","1460918192601"
"6","1460918193105"
"40","1460918193608"
"34","1460918194110"
"42","1460918194613"
"71","1460918195116"
"86","1460918195619"
"98","1460918196123"
"49","1460918196625"
"11","1460918197129"
"54","1460918197631"
"29","1460918198134"
"43","1460918198636"
"65","1460918199138"
"74","1460918199640"
"95","1460918200143"
"20","1460918200647"
"31","1460918201149"
"48","1460918201654"
"90","1460918202156"
"19","1460918202659"
"26","1460918203161"
"21","1460918203664"
"39","1460918204166"
"83","1460918204669"
"7","1460918205171"
"6","1460918205674"
"43","1460918206177"
"64","1460918206679"
"20","1460918207182"
"35","1460918207685"
"22","1460918208189"
"80","1460918208691"
"15","1460918209193"
"57","1460918209695"
"33","1460918210200"
"54","1460918210703"
"24","1460918211205"
"60","1460918211708"
"67","1460918212211"
"89","1460918212713"
"89","1460918213217"
"45","1460918213720"
"57","1460918214223"
"79","1460918214725"
"54","1460918215228"
"91","1460918215730"
"82","1460918216233"
"14","1460918216735"
"81","1460918217238"
"32","1460918217740"
"79","1460918218243"
"26","1460918218746"
"50","1460918219249"
"43","1460918219751"
"13","1460918220254"
"65","1460918220757"
"54","1460918221260"
"94","1460918221763"
"26","1460918222266"
"11","1460918222769"
"31","1460918223271"
"32","1460918223774"
"4","1460918224279"
"48","1460918224782"
"19","1460918225284"
"69","1460918225787"
"81","1460918226289"
"86","1460918226793"
"40","1460918227295"
"58","1460918227798"
"27","1460918228300"
"0","1460918228803"
"95","1460918229306"
"42","1460918229808"
"58","1460918230312"
"64","1460918230814"
"70","1460918231317"
"79","1460918231820"
"35","1460918232325"
"18","1460918232828"
"35","1460918233331"
"90","1460918233833"
"12","1460918234336"
"32","1460918234838"
"31","1460918235341"
"15","1460918235844"
"39","1460918236346"
"86","1460918236851"
"45","1460918237354"
"32","1460918237856"
"12","1460918238358"
"56","1460918238861"
"90","1460918239363"
"26","1460918239866"
"30","1460918240369"
"88","1460918240875"
"3","1460918241379"
"39","1460918241881"
"97","1460918242384"
"98","1460918242887"
"16","1460918243390"
"52","1460918243893"
"86","1460918244395"
"61","1460918244899"
"42","1460918245403"
"97","1460918245906"
"75","1460918246409"
"86","1460918246912"
"87","1460918247415"
"14","1460918247919"
"33","1460918248422"
"31","1460918248925"
"60","1460918249427"
"55","1460918249930"
"48","1460918250433"
"20","1460918250936"
"59","1460918251439"
"6","1460918251942"
"59","1460918252445"
"33","1460918252949"
"68","1460918253452"
"70","1460918253954"
"69","1460918254457"
"2","1460918254960"
"98","1460918255463"
"24","1460918255968"
"97","1460918256471"
"11","1460918256973"
"95","1460918257476"
"47","1460918257979"
"56","1460918258481"
"17","1460918258983"
"19","1460918259486"
"24","1460918259988"
"15","1460918260491"
"39","1460918260995"
"5","1460918261497"
"40","1460918262000"
"38","1460918262503"
"12","1460918263006"
"99","1460918263508"
"3","1460918264010"
"99","1460918264512"
"26","1460918265015"
"93","1460918265518"
"42","1460918266021"
"84","1460918266523"
"42","1460918267028"
"38","1460918267531"
"34","1460918268033"
"1","1460918268535"
"79","1460918269038"
"74","1460918269540"
"0","1460918270044"
"60","1460918270547"
"85","1460918271049"
"93","1460918271552"
"7","1460918272054"
"92","1460918272557"
"53","1460918273060"
"72","1460918273562"
"32","1460918274065"
"10","1460918274568"
"48","1460918275071"
"29","1460918275576"
"56","1460918276079"
"48","1460918276582"
"91","1460918277085"
"85","1460918277588"
"19","1460918278092"
"40","1460918278595"
"1","1460918279098"
"22","1460918279601"
"79","1460918280104"
"49","1460918280607"
"56","1460918281109"
"67","1460918281612"
"1","1460918282115"
"81","1460918282617"
"32","1460918283120"
"38","1460918283623"
"74","1460918284128"
"81","1460918284632"
"97","1460918285135"
"65","1460918285637"
"17","1460918286140"
"32","1460918286642"
"93","1460918287144"
"73","1460918287646"
"41","1460918288149"
"53","1460918288653"
"95","1460918289158"
"9","1460918289661"
"49","1460918290165"
"19","1460918290669"
"90","1460918291172"
"3","1460918291675"
"45","1460918292178"
"93","1460918292681"
"92","1460918293184"
"10","1460918293686"
"67","1460918294189"
"34","1460918294691"
"32","1460918295194"
"14","1460918295700"
"23","1460918296203"
"68","1460918296706"
"94","1460918297208"
"59","1460918297710"
"90","1460918298214"
"21","1460918298717"
"44","1460918299220"
"79","1460918299722"
"79","1460918300225"
"38","1460918300727"
"3","1460918301231"
"1","1460918301733"
"94","1460918302236"
"22","1460918302739"
"10","1460918303241"
"20","1460918303745"
"7","1460918304248"
"61","1460918304751"
"15","1460918305254"
"32","1460918305757"
"57","1460918306259"
"26","1460918306762"
"92","1460918307265"
"72","1460918307768"
"42","1460918308270"
"85","1460918308773"
"91","1460918309278"
"54","1460918309780"
"2","1460918310283"
"52","1460918310785"
"62","1460918311288"
"25","1460918311790"
"9","1460918312295"
"8","1460918312798"
"90","1460918313300"
"72","1460918313803"
"74","1460918314305"
"78","1460918314808"
"18","1460918315311"
"30","1460918315814"
"38","1460918316317"
"92","1460918316819"
"23","1460918317321"
"31","1460918317825"
"94","1460918318328"
"96","1460918318831"
"87","1460918319333"
"70","1460918319836"
"66","1460918320339"
"47","1460918320842"
